,kappa,theta,sigma,rho,v0,error
2023-07-17,3.3815495427717197,0.010000000000000002,5.0,-0.9476364238521056,0.22169891981196715,0.025339819779375175
2023-07-19,1.3619230289788884,0.01,5.0,-0.958317253867341,0.19241677678255645,0.04902103319315902
2023-07-21,9.379550460930123,0.01,5.0,-0.919251970433372,0.19385108550552274,0.014072281115416484
2023-07-24,4.35596020166552,0.01,5.0,-0.9501075416192631,0.22227608471229615,0.018344632199991273
2023-07-26,2.7545275632011306,0.010000000000000024,5.0,-0.9546545322093272,0.22452338455302448,0.018563039369240062
2023-07-28,3.771631827085947,0.01,5.0,-0.9499622892966836,0.22078019657500203,0.01964717275318959
2023-07-31,4.9662094742304435,0.01,5.0,-0.9468978450917432,0.21665925116405677,0.01678510003388107
2023-08-02,9.107003603691037,0.010000000000000004,5.0,-0.9068314931767806,0.19923477502583906,0.0048451170061198055
2023-08-04,10.0,0.02877660140863651,4.771165124831955,-0.9097273772028414,0.1675216380749735,0.004788634193886393
2023-08-07,2.4093385747517395,0.010000000000000007,5.0,-0.9628505922930498,0.25098302422333874,0.018402656267132608
2023-08-09,9.956513916983427,0.01,5.0,-0.9376323772545242,0.18609242847283058,0.018949254320020772
2023-08-11,0.7615429139104467,0.7880304806362819,5.0,-0.9624146404175676,0.18215896080990995,0.01736852999476444
2023-08-14,1.9516814501783308,0.01,5.0,-0.9669728896434051,0.262101997913789,0.0222663075621517
2023-08-16,9.056460526028685,0.01,5.0,-0.908264525092345,0.21093060363201221,0.003505690151383107
2023-08-18,2.9918067032993556,0.010000000000000052,5.0,-0.9514997475481769,0.274934723730628,0.012560572092066125
2023-08-21,3.779986321388899,0.01,5.0,-0.9505225203679429,0.2508960994584502,0.015377487867396119
2023-08-23,0.1,0.021249071685283966,5.0,-0.9741711081321002,0.25116691072071784,0.06127845383108366
2023-08-25,5.054972832473319,0.010000000000000002,5.0,-0.9443884029635654,0.23422267642989616,0.013917524457138456
2023-08-28,0.10000000015875594,0.015365474879632923,4.99999999999995,-0.9622944844371221,0.1940967400862298,0.04081654277459412
2023-08-30,5.250703000987226,0.01,5.0,-0.9429955982597258,0.22150533616043688,0.018220272987278543
2023-09-01,10.0,0.01,3.803919772089752,-0.9152303454996039,0.13035273392215313,0.015210178614675995
2023-09-06,10.0,0.07641431131038996,3.285487578907495,-0.8885521825323325,0.034793929086810886,0.00925355384976775
2023-09-08,7.680266640783186,0.010000000000000012,5.0,-0.9429794739779311,0.21875053379227274,0.011856003334947737
2023-09-11,9.595975427157256,0.01,5.0,-0.9376457955447535,0.20661732495512317,0.01446686170220577
2023-09-13,8.157406532519733,0.010000000000000007,5.0,-0.9337948223039854,0.2098335754179951,0.010696067500145293
2023-09-15,10.0,0.02897624471615095,3.42785670678576,-0.8871147592479285,0.08611027985952496,0.007454252830136041
2023-09-18,5.936339266678574,0.01,5.0,-0.9450844040025516,0.20735691843027126,0.015090921885667087
2023-09-20,7.301275288008041,0.1217259997168546,2.9420391709676745,-0.8365265046937578,0.0010000000000000002,0.0034648606374808886
2023-09-22,8.737786001055307,0.14229499031234594,5.0,-0.8992758745457395,0.08973891855419942,0.004946427197686198
